tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-max()-X,tBodyAcc-max()-Y,tBodyAcc-max()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,Activity
0.017197232,0.010649121,-0.036750867,16.18145752,4.706695557,6.863814831,-0.008574266,-0.17810176,0.025700496,shaking
0.310598235,-0.221191934,-0.059535564,16.66960144,3.631103516,8.049453735,0.087356567,-0.307773937,-0.471034657,shaking
0.017261411,-0.017308587,0.007524789,13.28137207,4.030700684,6.696319103,0.04395752,-0.211265055,0.007775879,shaking
0.068164386,-0.042006455,0.011932957,12.3409729,5.662612915,8.048248291,-0.004393514,-0.31668396,-0.140154012,shaking
0.162784884,-0.1005714,-0.025666323,14.85942078,5.207977295,7.777878284,0.119340007,-0.307886759,-0.081391398,shaking
-0.109277498,0.053154784,-0.095005979,12.37568665,4.883758545,8.006393433,0.024950155,-0.238475545,-0.093516032,shaking
-0.293350807,0.155349731,0.104226342,10.20419312,4.348968506,4.983047485,0.046569824,-0.157028198,0.905507406,shaking
0.959087014,-0.566772461,-0.243959584,14.57588196,3.897918701,6.031113148,0.053352356,-0.00188446,0.6587677,shaking
-0.148120357,0.04658972,0.033065628,14.47776794,6.257232666,6.829116344,0.080786133,0.133773804,0.195463562,shaking
-0.05595339,0.043642007,5.17E-04,12.78126526,4.972290039,6.093322754,0.018545532,-0.04381307,0.019179281,shaking
-0.079780001,0.015413166,-0.019381921,10.18025208,3.50428772,5.268996716,0.068152873,-0.074684652,0.374993896,shaking
0.020262295,-0.0333384,0.017424661,11.33480835,3.59161377,4.174285889,-0.048371379,-0.196792603,-0.108476766,shaking
0.042783705,0.030013936,0.006460774,11.84806824,4.031906128,6.351746082,0.095783488,-0.088815308,0.097653198,shaking
0.008709915,-0.004682007,-0.042049866,11.8959198,4.589431763,4.5415802,-0.021420288,-0.070000203,0.147946167,shaking
0.14237293,-0.08308762,0.034703814,13.97407532,4.338195801,6.180664063,0.014221191,-0.125511678,-0.008276367,shaking
0.157259736,-0.072105862,7.87E-04,12.43310547,5.775085449,7.659424305,0.051127116,-0.109367879,-0.036310832,shaking
-0.094202003,0.063049316,-0.010706293,15.61555481,4.063018799,10.15275574,-0.013682365,-0.220680237,0.242099762,shaking
0.297348018,-0.224207554,-0.032390847,14.4059906,5.143370628,8.987442017,0.031382243,-0.144351196,0.074931844,shaking
